ID,DrillID,Depth,TestsTypeID,Value
258,0,3.658,3.0,105.76
259,0,3.673,3.0,93.38
260,0,3.688,3.0,88.69
261,0,3.703,3.0,93.84
262,0,3.719,3.0,87.92
263,0,3.734,3.0,46.46
264,0,3.749,3.0,25.73
265,0,3.764,3.0,17.37
266,0,3.78,3.0,10.68
267,0,3.795,3.0,8.84
268,0,3.81,3.0,5.42
269,0,3.825,3.0,3.71
270,0,3.84,3.0,2.86
271,0,3.856,3.0,2.93
272,0,3.871,3.0,2.46
273,0,3.886,3.0,3.23
274,0,3.901,3.0,3.12
275,0,3.917,3.0,2.56
276,0,3.932,3.0,2.78
277,0,3.947,3.0,2.89
278,0,3.96175,2.0,344.5387693
279,0,3.962,3.0,2.94
280,0,3.978,3.0,2.97
281,0,3.993,3.0,2.49
282,0,4.008,3.0,2.24
283,0,4.023,3.0,3.12
284,0,4.039,3.0,3.06
285,0,4.054,3.0,4.03
286,0,4.069,3.0,9.02
287,0,4.084,3.0,8.01
288,0,4.1,3.0,5.0
289,0,4.115,3.0,6.0
290,0,4.13,3.0,5.0
291,0,4.145,3.0,4.5
292,0,4.161,3.0,3.75
293,0,4.176,3.0,4.88
294,0,4.191,3.0,4.94
295,0,4.206,3.0,7.47
296,0,4.221,3.0,6.73
297,0,4.237,3.0,6.37
298,0,4.252,3.0,4.68
299,0,4.2665,2.0,32.88952504
300,0,4.267,3.0,3.84
301,0,4.282,3.0,3.92
302,0,4.298,3.0,4.46
303,0,4.313,3.0,4.73
304,0,4.328,3.0,3.87
305,0,4.343,3.0,3.43
306,0,4.35,0.0,0.00053766
307,0,4.359,3.0,3.22
308,0,4.374,3.0,2.61
309,0,4.389,3.0,2.8
310,0,4.404,3.0,2.4
311,0,4.42,3.0,2.7
312,0,4.435,3.0,2.35
313,0,4.45,0.0,0.000555731
314,0,4.45,3.0,2.18
315,0,4.465,3.0,2.59
316,0,4.481,3.0,12.79
317,0,4.496,3.0,54.9
318,0,4.511,3.0,72.95
319,0,4.526,3.0,88.47
320,0,4.542,3.0,120.74
321,0,4.557,3.0,111.37
322,0,4.57125,2.0,144.0158133
323,0,4.572,3.0,119.68
324,0,4.587,3.0,120.34
325,0,4.602,3.0,105.67
326,0,4.618,3.0,106.84
327,0,4.633,3.0,128.42
328,0,4.648,3.0,138.21
329,0,4.663,3.0,71.1
330,0,4.679,3.0,101.55
331,0,4.694,3.0,106.78
332,0,4.709,3.0,131.39
333,0,4.724,3.0,143.19
334,0,4.74,3.0,135.1
335,0,4.755,3.0,128.05
336,0,4.77,3.0,100.02
337,0,4.785,3.0,57.01
338,0,4.801,3.0,35.51
339,0,4.816,3.0,97.75
340,0,4.831,3.0,95.88
341,0,4.846,3.0,88.44
342,0,4.862,3.0,93.72
343,0,4.876,2.0,417.2644481
344,0,4.877,3.0,68.86
345,0,4.892,3.0,71.43
346,0,4.907,3.0,64.71
347,0,4.923,3.0,48.36
348,0,4.938,3.0,41.68
349,0,4.953,3.0,66.84
350,0,4.968,3.0,138.92
351,0,4.983,3.0,92.96
352,0,4.999,3.0,81.98
353,0,5.014,3.0,74.49
354,0,5.029,3.0,91.74
355,0,5.044,3.0,89.87
356,0,5.06,3.0,77.44
357,0,5.075,3.0,88.72
358,0,5.09,3.0,73.86
359,0,5.105,3.0,73.93
360,0,5.121,3.0,85.46
361,0,5.136,3.0,91.73
362,0,5.151,3.0,65.37
363,0,5.166,3.0,96.68
364,0,5.18075,2.0,288.0044682
365,0,5.182,3.0,110.34
366,0,5.197,3.0,100.17
367,0,5.212,3.0,92.09
368,0,5.227,3.0,100.54
369,0,5.243,3.0,89.77
370,0,5.258,3.0,84.89
371,0,5.273,3.0,82.94
372,0,5.288,3.0,88.97
373,0,5.304,3.0,94.99
374,0,5.319,3.0,111.99
375,0,5.334,3.0,116.5
376,0,5.349,3.0,116.25
377,0,5.364,3.0,109.62
378,0,5.38,3.0,107.31
379,0,5.395,3.0,105.16
380,0,5.41,3.0,109.58
381,0,5.425,3.0,91.79
382,0,5.441,3.0,68.39
383,0,5.456,3.0,90.2
384,0,5.471,3.0,77.6
385,0,5.4855,2.0,142.2240536
386,0,5.486,3.0,96.8
387,0,5.502,3.0,117.4
388,0,5.517,3.0,125.7
389,0,5.532,3.0,119.35
390,0,5.547,3.0,114.67
391,0,5.563,3.0,109.34
392,0,5.578,3.0,102.17
393,0,5.593,3.0,98.58
394,0,5.608,3.0,100.79
395,0,5.624,3.0,103.4
396,0,5.639,3.0,94.2
397,0,5.654,3.0,69.1
398,0,5.669,3.0,100.55
399,0,5.685,3.0,121.27
400,0,5.7,3.0,153.64
401,0,5.715,3.0,117.32
402,0,5.73,3.0,111.16
403,0,5.745,3.0,114.08
404,0,5.761,3.0,82.54
405,0,5.776,3.0,83.77
406,0,5.79025,2.0,564.8374797
407,0,5.791,3.0,141.88
408,0,5.806,3.0,129.94
409,0,5.822,3.0,114.97
410,0,5.837,3.0,107.49
411,0,5.852,3.0,108.74
412,0,5.867,3.0,112.37
413,0,5.883,3.0,121.19
414,0,5.898,3.0,118.09
415,0,5.913,3.0,130.05
416,0,5.928,3.0,121.52
417,0,5.944,3.0,112.26
418,0,5.959,3.0,118.63
419,0,5.974,3.0,114.32
420,0,5.989,3.0,102.66
421,0,6.005,3.0,103.83
422,0,6.02,3.0,109.41
423,0,6.035,3.0,105.21
424,0,6.05,3.0,105.1
425,0,6.066,3.0,108.05
426,0,6.081,3.0,106.53
427,0,6.095,2.0,603.8966575
428,0,6.096,3.0,105.76
429,0,6.111,3.0,110.88
430,0,6.126,3.0,115.44
431,0,6.142,3.0,102.72
432,0,6.157,3.0,101.36
433,0,6.172,3.0,95.68
434,0,6.187,3.0,88.34
435,0,6.203,3.0,103.67
436,0,6.218,3.0,119.34
437,0,6.233,3.0,102.67
438,0,6.248,3.0,108.33
439,0,6.26,0.0,0.001504229
440,0,6.264,3.0,115.17
441,0,6.279,3.0,118.58
442,0,6.294,3.0,111.29
443,0,6.309,3.0,104.15
444,0,6.325,3.0,103.57
445,0,6.34,3.0,103.79
446,0,6.355,3.0,110.89
447,0,6.37,3.0,107.95
448,0,6.386,3.0,104.47
449,0,6.39975,2.0,543.9039489
450,0,6.401,3.0,82.74
451,0,6.416,3.0,54.37
452,0,6.431,3.0,28.68
453,0,6.447,3.0,14.84
454,0,6.462,3.0,8.42
455,0,6.477,3.0,5.21
456,0,6.492,3.0,4.11
457,0,6.507,3.0,5.05
458,0,6.523,3.0,46.53
459,0,6.538,3.0,24.26
460,0,6.553,3.0,13.63
461,0,6.568,3.0,8.82
462,0,6.584,3.0,5.91
463,0,6.599,3.0,4.95
464,0,6.614,3.0,3.48
465,0,6.629,3.0,2.24
466,0,6.645,3.0,1.62
467,0,6.66,3.0,1.31
468,0,6.675,3.0,1.65
