x,y,u,v
13.925368,50.965454,0.000367,-0.003235
13.925368,50.965545,0.000241,-0.003172
13.925511,50.965272,0.000326,-0.002652
13.925511,50.965363,0.000455,-0.003059
13.925511,50.965454,0.000413,-0.003334
13.925655,50.965363,0.000558,-0.00301
13.925655,50.965454,0.000512,-0.003537
13.925798,50.965363,0.000591,-0.003035
13.925798,50.965454,0.000509,-0.003276
13.925942,50.965363,0.000642,-0.003129
13.926086,50.965363,0.000692,-0.003187
13.922352,50.964822,-0.000197,-0.000237
13.922496,50.964822,-6.2e-05,-0.0005
13.922496,50.964914,-0.00035,-0.000149
13.922639,50.964822,3.5e-05,-0.000732
13.922639,50.964914,-0.00022,-0.000429
13.922639,50.965007,-0.000496,-7.1e-05
13.922783,50.964914,-8.5e-05,-0.000679
13.922783,50.965007,-0.00038,-0.000349
13.922783,50.965099,-0.000642,-9e-06
13.922927,50.964914,1.1e-05,-0.00092
13.922927,50.965007,-0.000254,-0.000629
13.922927,50.965099,-0.000516,-0.000313
13.922927,50.965192,-0.000845,5.3e-05
13.92307,50.964914,8.6e-05,-0.001137
13.92307,50.965007,-0.000105,-0.000876
13.92307,50.965099,-0.000412,-0.0006
13.92307,50.965192,-0.000681,-0.000269
13.92307,50.965285,-0.001016,0.000177
13.923214,50.964914,0.000188,-0.001309
13.923214,50.965007,-1.4e-05,-0.001127
13.923214,50.965099,-0.0003,-0.000888
13.923214,50.965192,-0.000523,-0.000551
13.923214,50.965285,-0.000859,-0.00015
13.923214,50.965377,-0.001212,0.00027
13.923357,50.965007,6e-05,-0.001364
13.923357,50.965099,-0.000137,-0.001109
13.923357,50.965192,-0.000399,-0.000829
13.923357,50.965285,-0.000732,-0.000513
13.923357,50.965377,-0.001101,-0.000113
13.923357,50.96547,-0.001445,0.000365
13.923501,50.965007,0.000183,-0.001538
13.923501,50.965099,-2e-05,-0.001348
13.923501,50.965192,-0.000314,-0.001147
13.923501,50.965285,-0.000605,-0.000852
13.923501,50.965377,-0.000941,-0.000442
13.923501,50.96547,-0.001263,-8e-06
13.923501,50.965562,-0.001701,0.000443
13.923645,50.965007,0.000254,-0.001739
13.923645,50.965099,3e-05,-0.001606
13.923645,50.965192,-0.000215,-0.001414
13.923645,50.965285,-0.000466,-0.00114
13.923645,50.965377,-0.000769,-0.00077
13.923645,50.96547,-0.001134,-0.000394
13.923645,50.965562,-0.001517,3.6e-05
13.923645,50.965655,-0.001923,0.000551
13.923788,50.965007,0.000319,-0.001922
13.923788,50.965099,0.000146,-0.001817
13.923788,50.965192,-5.5e-05,-0.001642
13.923788,50.965285,-0.000297,-0.001406
13.923788,50.965377,-0.000601,-0.00111
13.923788,50.96547,-0.00103,-0.000755
13.923788,50.965562,-0.001663,-0.000346
13.923788,50.965655,-0.002571,0.000114
13.923788,50.965747,-0.002955,0.000642
13.923932,50.965099,-0.00035,-0.001979
13.923932,50.965192,-0.001127,-0.001857
13.923932,50.965285,-0.002126,-0.001686
13.923932,50.965377,-0.003179,-0.001503
13.923932,50.96547,-0.003701,-0.001455
13.923932,50.965562,-0.003994,-0.001505
13.923932,50.965655,-0.004506,-0.000742
13.923932,50.965747,-0.005249,0.000325
13.923932,50.96584,-0.005638,0.001526
13.924075,50.965099,-0.001492,-0.003189
13.924075,50.965192,-0.002955,-0.003419
13.924075,50.965285,-0.004019,-0.003459
13.924075,50.965377,-0.005049,-0.002685
13.924075,50.96547,-0.006016,-0.001571
13.924075,50.965562,-0.006788,-0.001151
13.924075,50.965655,-0.007373,-0.00114
13.924075,50.965747,-0.008136,-0.00049
13.924075,50.96584,-0.007795,0.00294
13.924219,50.965099,-0.001649,-0.00504
13.924219,50.965192,-0.003301,-0.004384
13.924219,50.965285,-0.004535,-0.00378
13.924219,50.965377,-0.005538,-0.0035
13.924219,50.96547,-0.006912,-0.003194
13.924219,50.965562,-0.008373,-0.002862
13.924219,50.965655,-0.009353,-0.002091
13.924219,50.965747,-0.009307,-9.7e-05
13.924219,50.96584,-0.008228,0.005367
13.924219,50.965933,-0.004481,0.014253
13.924363,50.965099,-0.001088,-0.006928
13.924363,50.965192,-0.003506,-0.006305
13.924363,50.965285,-0.005391,-0.005696
13.924363,50.965377,-0.006873,-0.005063
13.924363,50.96547,-0.007986,-0.004406
13.924363,50.965562,-0.008731,-0.003591
13.924363,50.965655,-0.00903,-0.002074
13.924363,50.965747,-0.008651,0.000634
13.924363,50.96584,-0.007498,0.007766
13.924363,50.965933,-0.004034,0.019171
13.924506,50.965192,-0.002671,-0.008686
13.924506,50.965285,-0.004935,-0.007147
13.924506,50.965377,-0.00633,-0.006095
13.924506,50.96547,-0.006999,-0.005053
13.924506,50.965562,-0.00727,-0.003907
13.924506,50.965655,-0.00729,-0.00201
13.924506,50.965747,-0.007058,0.001436
13.924506,50.96584,-0.005586,0.009984
13.924506,50.965933,-0.002951,0.022744
13.92465,50.965192,0.000934,-0.011469
13.92465,50.965285,-0.001215,-0.009354
13.92465,50.965377,-0.00327,-0.007127
13.92465,50.96547,-0.004896,-0.005346
13.92465,50.965562,-0.005156,-0.003881
13.92465,50.965655,-0.004757,-0.001862
13.92465,50.965747,-0.00453,0.002338
13.92465,50.96584,-0.002847,0.011874
13.92465,50.965933,-0.000548,0.024867
13.92465,50.966025,0.001082,0.033625
13.924793,50.965192,0.00334,-0.012346
13.924793,50.965285,0.002657,-0.011351
13.924793,50.965377,0.001391,-0.009777
13.924793,50.96547,-3.8e-05,-0.006939
13.924793,50.965562,-0.001026,-0.003768
13.924793,50.965655,-0.001285,-0.001384
13.924793,50.965747,-0.001055,0.003345
13.924793,50.96584,0.001765,0.013966
13.924793,50.965933,0.004811,0.026674
13.924793,50.966025,0.006224,0.035982
13.924937,50.965192,0.003435,-0.012209
13.924937,50.965285,0.003507,-0.011304
13.924937,50.965377,0.003513,-0.009822
13.924937,50.96547,0.003465,-0.007763
13.924937,50.965562,0.002592,-0.005128
13.924937,50.965655,0.001895,-0.00189
13.924937,50.965747,0.004265,0.005388
13.924937,50.96584,0.009276,0.01774
13.924937,50.965933,0.01318,0.029327
13.924937,50.966025,0.015147,0.036689
13.924937,50.966118,0.014721,0.039826
13.92508,50.965285,0.003451,-0.011273
13.92508,50.965377,0.003442,-0.009818
13.92508,50.96547,0.003383,-0.007861
13.92508,50.965562,0.003218,-0.005337
13.92508,50.965655,0.005191,0.000289
13.92508,50.965747,0.011199,0.010726
13.92508,50.96584,0.017499,0.022881
13.92508,50.965933,0.02169,0.032544
13.92508,50.966025,0.020566,0.037523
13.925224,50.965285,0.003347,-0.011208
13.925224,50.965377,0.003413,-0.00989
13.925224,50.96547,0.003264,-0.007987
13.925224,50.965562,0.004558,-0.00332
13.925224,50.965655,0.010484,0.006091
13.925224,50.965747,0.017757,0.017695
13.925224,50.96584,0.022949,0.028231
13.925224,50.965933,0.021323,0.032394
13.925368,50.965285,0.003243,-0.011103
13.925368,50.965377,0.003264,-0.009902
13.925368,50.96547,0.004064,-0.006716
13.925368,50.965562,0.008862,0.001883
13.925368,50.965655,0.015873,0.013488
13.925368,50.965747,0.020612,0.023191
13.925368,50.96584,0.019242,0.026448
13.925368,50.965933,0.014291,0.026184
13.925511,50.965285,0.003169,-0.011075
13.925511,50.965377,0.003617,-0.009069
13.925511,50.96547,0.006786,-0.00239
13.925511,50.965562,0.01341,0.008489
13.925511,50.965655,0.017053,0.017841
13.925511,50.965747,0.016075,0.021064
13.925511,50.96584,0.012281,0.021909
13.925655,50.965377,0.005072,-0.006284
13.925655,50.96547,0.010033,0.003077
13.925655,50.965562,0.013235,0.01215
13.925655,50.965655,0.012997,0.016153
13.925655,50.965747,0.01056,0.018419
13.925798,50.965377,0.006291,-0.002242
13.925798,50.96547,0.009591,0.005774
13.925798,50.965562,0.009975,0.011453
13.925798,50.965655,0.008965,0.015166
13.925942,50.965377,0.005531,-4.2e-05
13.925942,50.96547,0.006861,0.00676
13.925942,50.965562,0.007265,0.011523
13.925942,50.965655,0.004633,0.012448
13.926086,50.965377,0.00352,0.001915
13.926086,50.96547,0.004833,0.007508
13.926086,50.965562,0.003352,0.009225
13.926229,50.96547,0.001837,0.006592
