x,y,u,v
13.922783,50.965454,5.6e-05,-0.000725
13.922783,50.965545,-4.1e-05,-0.000641
13.922783,50.965636,-0.000128,-0.00056
13.922783,50.965727,-0.000166,-0.000505
13.922783,50.965818,-0.000212,-0.000487
13.922783,50.965909,-0.000145,-0.00049
13.922783,50.966,-4.2e-05,-0.000498
13.922927,50.964908,0.000156,-0.000868
13.922927,50.964999,0.000119,-0.000844
13.922927,50.96509,0.000108,-0.00085
13.922927,50.965181,0.000117,-0.000867
13.922927,50.965272,0.000129,-0.000865
13.922927,50.965363,0.000111,-0.000838
13.922927,50.965454,6.8e-05,-0.000794
13.922927,50.965545,1.1e-05,-0.00073
13.922927,50.965636,-5.1e-05,-0.000636
13.922927,50.965727,-0.000146,-0.000605
13.922927,50.965818,-0.000283,-0.000527
13.922927,50.965909,-0.000228,-0.000399
13.922927,50.966,-0.000102,-0.000386
13.92307,50.964908,0.000174,-0.000933
13.92307,50.964999,0.000103,-0.000918
13.92307,50.96509,3.4e-05,-0.000891
13.92307,50.965181,-1.5e-05,-0.000856
13.92307,50.965272,-4.6e-05,-0.000849
13.92307,50.965363,-7.4e-05,-0.000854
13.92307,50.965454,-9.4e-05,-0.000824
13.92307,50.965545,-6.3e-05,-0.00076
13.92307,50.965636,-0.000117,-0.000718
13.92307,50.965727,-0.000315,-0.000737
13.92307,50.965818,-0.000353,-0.000569
13.92307,50.965909,-0.000307,-0.000309
13.92307,50.966,-0.000182,-0.000253
13.923214,50.964908,0.000202,-0.000994
13.923214,50.964999,0.000143,-0.000985
13.923214,50.96509,6.5e-05,-0.000968
13.923214,50.965181,-4.2e-05,-0.000947
13.923214,50.965272,-0.000147,-0.000923
13.923214,50.965363,-0.000268,-0.000886
13.923214,50.965454,-0.000319,-0.000783
13.923214,50.965545,-0.000249,-0.000753
13.923214,50.965636,-0.000314,-0.000888
13.923214,50.965727,-0.000531,-0.000841
13.923214,50.965818,-0.000446,-0.00052
13.923214,50.965909,-0.000376,-0.000228
13.923214,50.966,-0.000267,-0.000113
13.923357,50.964999,0.00013,-0.001055
13.923357,50.96509,3e-05,-0.001077
13.923357,50.965181,-7.9e-05,-0.001068
13.923357,50.965272,-0.00024,-0.001075
